"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
2.13999999999999,0.77051324277575,-1.17912707848203,-0.764355610468984,-0.36699094675473,-2.31047363570574
2.14999999999999,0.809016994374909,-1.2378888811823,-0.802490231938981,-0.385542143218382,-2.42592125633966
2.15999999999999,0.84432792550198,-1.29176456945265,-0.837458413921626,-0.40257149858059,-2.53179448195487
2.16999999999999,0.876306680043832,-1.34054151132745,-0.869122143581111,-0.418011824792794,-2.62767547970136
2.17999999999999,0.904827052465992,-1.38402719726929,-0.897356449354231,-0.431802204791101,-2.71318585141462
2.18999999999999,0.929776485888228,-1.42205000023704,-0.922049894114518,-0.443888232889394,-2.78798812724095
2.19999999999999,0.951056516295134,-1.45445985257612,-0.94310501500886,-0.454222229504361,-2.85178709708934
2.20999999999999,0.968583161128615,-1.48112883872452,-0.9604387080603,-0.462763429307441,-2.90433097609226
2.21999999999999,0.982287250728677,-1.50195169958628,-0.973982556150089,-0.469478142147436,-2.94541239788381
2.22999999999999,0.99211470131447,-1.51684624833919,-0.983683099029971,-0.47433988596394,-2.9748692333331
2.23999999999999,0.998026728428268,-1.52575369444508,-0.98950204431152,-0.477329491329752,-2.99258523008635
2.24999999999999,1,-1.52863887594075,-0.991416418562409,-0.478435177110626,-2.99849047161378
2.25999999999999,0.998026728428276,-1.5254903980893,-0.989418658011871,-0.477652596946087,-2.99256165304726
2.26999999999999,0.992114701314486,-1.516320678374,-0.983516638368663,-0.474984856415845,-2.97482217315851
2.27999999999999,0.982287250728701,-1.50116589740619,-0.973733643760808,-0.47044250077656,-2.94534204194356
2.28999999999999,0.968583161128647,-1.48008585616033,-0.960108274802877,-0.464043473343818,-2.90423760430703
2.29999999999999,0.951056516295174,-1.45316374015963,-0.942694296307012,-0.455813044689265,-2.85167108115591
2.30999999999999,0.929776485888275,-1.42050579089037,-0.921560425073227,-0.445783712921581,-2.78784992888518
2.31999999999999,0.904827052466047,-1.38224088667988,-0.89679005868583,-0.43399507540575,-2.71302602077146
2.32999999999999,0.876306680043894,-1.33852003409813,-0.86848094640304,-0.420493672515785,-2.62749465301695
2.33999999999999,0.844327925502049,-1.28951577190135,-0.836744803359654,-0.405332803945637,-2.53159337920664
2.34999999999999,0.809016994374984,-1.23542149015867,-0.801706869695938,-0.388572318365623,-2.42570067822023
2.35999999999999,0.770513242775829,-1.17645066706953,-0.763505416288559,-0.370278377238939,-2.31023446059703
2.36999999999999,0.728968627421455,-1.11283602628277,-0.722291199032094,-0.350523193695465,-2.18565041901033
2.37999999999999,0.684547105928735,-1.04482861865962,-0.67822686392772,-0.329384747576511,-2.05244023016385
2.38999999999999,0.637423989748739,-0.972696831400472,-0.631486305147374,-0.306946477640071,-1.91112961418792
2.39999999999999,0.587785252292524,-0.896725328755788,-0.582253978765377,-0.283296952297144,-1.76227625981831
2.40999999999999,0.53582679497905,-0.817213928779676,-0.530724174801449,-0.258529520077026,-1.60646762365815
2.41999999999999,0.481753674101771,-0.734476419902062,-0.477100250419091,-0.23274194120065,-1.4443186115218
2.42999999999999,0.425779291565132,-0.648839322649449,-0.421593827417229,-0.206036001787446,-1.27646915185412
2.43999999999999,0.368124552684736,-0.560640600966127,-0.364423957000663,-0.178517112151335,-1.10358167011812
2.44999999999999,0.309016994375007,-0.470228328479383,-0.305816255329226,-0.150293890791356,-0.926338474599965
2.45999999999999,0.248689887164916,-0.377959314713455,-0.246002013068105,-0.121477735721062,-0.745439063502622
2.46999999999999,0.187381314585789,-0.284197697052318,-0.185217282646889,-0.0921823848542165,-0.561597364553423
2.47999999999999,0.125333233564369,-0.189313503535861,-0.123701946596218,-0.062523467101413,-0.375538917233492
2.48999999999999,0.0627905195293757,-0.0936811926373781,-0.0616987709143511,-0.0326180460716304,-0.18799800962336
2.49999999999999,6.45611696179827e-14,0.00232182467345242,0.000547553090362822,-0.00258415804871832,0.000285219715096922
2.50999999999999,-0.0627905195292486,0.0983166742962823,0.0627913744247941,0.0274596538244385,0.188567702545515
2.51999999999999,-0.12533323356424,0.193924514295385,0.124787051918067,0.057394807385304,0.376106373598756
2.52999999999999,-0.187381314585664,0.288768030017275,0.186289923651794,0.0871031494431825,0.562161103112252
2.53999999999999,-0.248689887164793,0.382472923131706,0.247057272502129,0.116467422062566,0.745997617696401
2.54999999999999,-0.309016994374888,0.474669388905258,0.306849284094893,0.145371725346221,0.926890398346372
2.55999999999999,-0.368124552684619,0.56499357557382,0.365429993173543,0.173701974823389,1.10412554357075
2.56999999999999,-0.425779291565015,0.653089020315363,0.422568214894285,0.201346351671361,1.27700358688101
2.57999999999999,-0.481753674101659,0.73860805607779,0.478038457177048,0.228195744048417,1.44484225730326
2.58999999999999,-0.535826794978942,0.821213183655142,0.531621810670975,0.254144177692142,1.60697917201826
2.59999999999999,-0.587785252292421,0.900578403609728,0.58310681261053,0.279089234126772,1.76277445034703
2.60999999999999,-0.63742398974864,0.976390502878108,0.632290281438012,0.302932454903038,1.91161323921916
2.61999999999999,-0.684547105928644,1.04835029086287,0.678978118621868,0.32557973011805,2.05290813960279
2.62999999999998,-0.728968627421325,1.11617378025224,0.722986074695046,0.346941669876555,2.18610152482384
2.63999999999998,-0.770513242775709,1.17959330768631,0.764140476416542,0.366933957028255,2.31066774113111
2.64999999999998,-0.809016994374873,1.23835859012474,0.802278912134778,0.385477679937907,2.42611518219742
2.65999999999998,-0.844327925501947,1.29223771271376,0.837250872807524,0.402499643932976,2.53198822945426
2.66999999999998,-0.876306680043802,1.34101804398515,0.868918345963648,0.417932660132056,2.62786905008085
2.67999999999998,-0.904827052465965,1.38450707499732,0.897156360369747,0.431715810646234,2.7133792460133
2.68999999999998,-0.929776485888205,1.42253317900833,0.921853479252874,0.443794688967091,2.78818134722829
2.69999999999998,-0.951056516295115,1.45494628895944,0.942912240087608,0.454121614687525,2.85198014373457
2.70999999999998,-0.9685831611286,1.48161848968631,0.96024953923332,0.46265582167515,2.90452385059478
2.71999999999998,-0.982287250728664,1.50244452258964,0.973796959898252,0.469363618965555,2.94560510145345
2.72999999999998,-0.992114701314462,1.51734220124498,0.983501042170022,0.474218523704663,2.97506176711966
2.73999999999998,-0.998026728428264,1.52625273560969,0.989323493977802,0.477201365672248,2.99277759525974
2.74999999999998,-1,1.52914096421874,0.991241342215099,0.478300362950269,2.99868266938411
2.75999999999998,-0.99802672842828,1.52599549273126,0.989247023428442,0.477511168404934,2.99275368456464
2.76999999999998,-0.992114701314494,1.51682873902817,0.983348413632299,0.47483688683285,2.97501403949332
2.77999999999998,-0.982287250728712,1.50167688421681,0.973568797263002,0.470288062736515,2.94553374421633
2.78999999999998,-0.968583161128663,1.48059972976903,0.959946775250365,0.463882638678922,2.90442914369832
2.79999999999998,-0.951056516295193,1.45368046160387,0.942536112714864,0.455645884477681,2.85186245879642
2.80999999999998,-0.929776485888299,1.42102532160511,0.921405526741848,0.445610297488751,2.78804114583571
2.81999999999998,-0.904827052466073,1.38276318859635,0.896638415233103,0.433815474343544,2.713217078173
2.82999999999998,-0.876306680043924,1.33904506954373,0.868332527724923,0.420307954671842,2.62768555194049
2.83999999999998,-0.844327925502083,1.29004350360032,0.836599579657989,0.405141037455053,2.53178412071336
2.84999999999998,-0.809016994375022,1.23595188133238,0.801564811459262,0.388374570649855,2.4258912634415
2.85999999999998,-0.77051324277587,1.17698368122017,0.763366494272913,0.370074714991028,2.31042489048411
2.86999999999998,-0.728968627421499,1.11337162745539,0.722155384299633,0.350313682919731,2.18584069467475
2.87999999999998,-0.684547105928782,1.04536677134931,0.678094127818931,0.329169453568958,2.0526303527372
2.88999999999998,-0.637423989748789,0.973237500314366,0.631356619269173,0.306725465008179,1.91131958459172
2.89999999999998,-0.587785252292577,0.897268479207582,0.582127315001954,0.283070284965032,1.76246607917457
2.90999999999998,-0.535826794979102,0.817759526399646,0.530600505304156,0.258297261284948,1.60665729298875
2.91999999999998,-0.481753674101826,0.735024430716926,0.476979547616287,0.232504153505372,1.44450813183859
2.92999999999998,-0.425779291565187,0.649389713082313,0.421476064004301,0.205792747102337,1.27665852418895
2.93999999999998,-0.368124552684795,0.561193337816789,0.364309105920982,0.17826845170597,1.10377089544374
2.94999999999998,-0.309016994375068,0.470783378943604,0.305704289802881,0.150039885181429,0.926527553927914
2.95999999999998,-0.248689887164978,0.378516646364318,0.245892906562577,0.121218444878906,0.745627997805801
2.96999999999998,-0.18738131458585,0.284757277848697,0.185111008886919,0.0919178680781177,0.561786154813734
2.97999999999998,-0.125333233564431,0.189875301813721,0.123598479564131,0.0622537830501712,0.375727564428023
2.98999999999998,-0.0627905195294414,0.0942451770887597,0.0615980848290845,0.0323432527772188,0.188186514695063
2.99999999999998,-1.25079766837506e-13,-0.00175568496795746,-0.000645483746236451,0.00230431291904306,-9.68557951508508e-05
3.00999999999998,0.0627905195291882,-0.097748409899921,-0.0628865749331709,-0.0277444939969393,-0.188379478830031
3.01999999999998,0.125333233564179,-0.193354155409444,-0.124879547318292,-0.0576845864197101,-0.375918289147446
3.02999999999998,0.187381314585601,-0.288195606479806,-0.186379738744582,-0.0873978117628757,-0.561973156987264
3.03999999999998,0.248689887164732,-0.381898464431988,-0.247144431848548,-0.116766912689499,-0.745809808970035
3.04999999999998,0.309016994374827,-0.474092924181847,-0.30693381203043,-0.145675989897846,-0.926702726110123
3.05999999999998,0.36812455268456,-0.56441513360902,-0.365511913796694,-0.174010959496451,-1.10393800690216
3.06999999999998,0.425779291564957,-0.652508629564598,-0.422647552075424,-0.201660003256688,-1.27681618489671
3.07999999999998,0.481753674101603,-0.738025744644897,-0.478115234569096,-0.228514009905641,-1.44465498911963
3.08999999999998,0.535826794978891,-0.820628979292358,-0.531696051669123,-0.254467005741148,-1.60679203670263
