"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
1.48999999999999,0.0627905195293772,0.262402565004212,0.425123277618597,0.0627905195293772
1.49999999999999,6.2539883418753e-14,0.304415095327623,0.481909966031423,6.2539883418753e-14
1.50999999999999,-0.0627905195292506,0.345235609818454,0.536821079893794,-0.0627905195292506
1.51999999999999,-0.125333233564242,0.384702600320634,0.589639258645874,-0.125333233564242
1.52999999999999,-0.187381314585662,0.422659912996107,0.640155421501472,-0.187381314585662
1.53999999999999,-0.248689887164793,0.458957364105963,0.688169591852204,-0.248689887164793
1.54999999999999,-0.309016994374888,0.493451332451666,0.733491686028015,-0.309016994374888
1.55999999999999,-0.368124552684618,0.526005325764219,0.775942262801454,-0.368124552684618
1.56999999999999,-0.425779291565015,0.556490519022181,0.815353231054838,-0.425779291565015
1.57999999999999,-0.481753674101659,0.584786262511019,0.851568512576729,-0.481753674101659
1.58999999999999,-0.535826794978943,0.610780557706203,0.884444657563779,-0.535826794978943
1.59999999999999,-0.587785252292421,0.634370498904492,0.913851410138473,-0.587785252292421
1.60999999999999,-0.637423989748641,0.655462678990327,0.93967222209817,-0.637423989748641
1.61999999999999,-0.684547105928643,0.67397355788514,0.961804712198092,-0.684547105928643
1.62999999999999,-0.728968627421368,0.689829791884646,0.980161069885052,-0.728968627421368
1.63999999999999,-0.770513242775748,0.702968522769878,0.994668401295557,-0.770513242775748
1.64999999999999,-0.80901699437491,0.713337625739751,1.0052690166129,-0.80901699437491
1.65999999999999,-0.844327925501981,0.720895914761255,1.01192065729046,-0.844327925501981
1.66999999999999,-0.876306680043833,0.725613304850034,1.01459666226486,-0.876306680043833
1.67999999999999,-0.904827052465992,0.72747093067932,1.01328607307357,-0.904827052465992
1.68999999999999,-0.929776485888228,0.726461220584688,1.00799367645635,-0.929776485888228
1.69999999999999,-0.951056516295134,0.722587926330415,0.998739985154973,-0.951056516295134
1.70999999999999,-0.968583161128615,0.715866108157141,0.985561156700056,-0.968583161128615
1.71999999999999,-0.982287250728677,0.706322074975001,0.968508850355258,-0.982287250728677
1.72999999999999,-0.99211470131447,0.693993280405302,0.947650022773379,-0.99211470131447
1.73999999999999,-0.998026728428268,0.6789281746991,0.923066663564352,-0.998026728428268
1.74999999999999,-1,0.661186013369831,0.894855471230826,-1
1.75999999999999,-0.998026728428276,0.640836623200202,0.863127471485807,-0.998026728428276
1.76999999999999,-0.992114701314486,0.617960126384935,0.828007578651707,-0.992114701314486
1.77999999999999,-0.982287250728701,0.592646624156266,0.789634102274296,-0.982287250728701
