"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
1.02,0.125333233564303,-1.12149552850292,-0.161380781782746,-0.324765454760048,-1.60764176504571
1.03,0.187381314585725,-1.12848626542985,-0.221561210787568,-0.329344868745639,-1.67939234496306
1.04,0.248689887164854,-1.13101552216735,-0.280875675055797,-0.332609904269013,-1.74450110149216
1.05,0.309016994374946,-1.12907394699264,-0.339090007561221,-0.334547998706662,-1.80271195326052
1.06,0.368124552684677,-1.12266979683431,-0.39597437455401,-0.335151814996061,-1.85379598638438
1.07,0.425779291565072,-1.11182890742282,-0.451304183184937,-0.334419271668312,-1.89755236227607
1.08,0.481753674101715,-1.09659459298023,-0.504860967737012,-0.332353551070828,-1.93380911178807
1.09,0.535826794978996,-1.0770274779791,-0.556433252605571,-0.328963087965143,-1.96242381854981
1.1,0.587785252292473,-1.05320525927804,-0.605817387216782,-0.324261536492438,-1.98328418298726
1.11,0.637423989748689,-1.02522240183417,-0.652818349858646,-0.318267716917322,-1.99630846861014
1.12,0.684547105928689,-0.993189767679086,-0.69725051794979,-0.311005541608064,-2.00144582723694
1.13,0.728968627421411,-0.95723417951418,-0.738938400925178,-0.302503921570922,-1.99867650201028
1.14,0.770513242775789,-0.917497921529388,-0.777717332939141,-0.292796652374637,-1.98801190684317
1.15,0.809016994374947,-0.874138180653146,-0.813434122979766,-0.281922281135378,-1.96949458476829
1.16,0.844327925502014,-0.827326425007112,-0.845947660291496,-0.269923955200089,-1.9431980404987
1.17,0.876306680043864,-0.777247731394023,-0.875129470761225,-0.256849251685217,-1.90922645384047
1.18,0.904827052466019,-0.724100053106289,-0.900864224841405,-0.242749990105137,-1.86771426805283
1.19,0.929776485888251,-0.668093442141201,-0.923050192557963,-0.227682028587506,-1.81882566328667
1.2,0.951056516295153,-0.609449219622607,-0.941599645760757,-0.211705043476974,-1.76275390886034
1.21,0.968583161128631,-0.548399103797031,-0.956439203828884,-0.194882293636221,-1.69972060126214
1.22,0.982287250728688,-0.485184296520201,-0.967510124267396,-0.177280371669147,-1.62997479245674
1.23,0.992114701314478,-0.420054531930679,-0.974768534413141,-0.158968941146232,-1.55379200749005
1.24,0.998026728428272,-0.353267091304367,-0.978185604404068,-0.140020461492118,-1.47147315720055
1.25,1,-0.285085789413081,-0.977747662144884,-0.120509902860566,-1.38334335441853
1.26,0.998026728428272,-0.215779932314105,-0.973456246403067,-0.10051444980601,-1.28975062852318
1.27,0.992114701314478,-0.145623256929675,-0.965328101838099,-0.0801131975252831,-1.19106455629306
1.28,0.982287250728689,-0.0748928495501749,-0.95339511220722,-0.0593868390745691,-1.08767480083196
1.29,0.968583161128632,-0.00386805441267768,-0.937704175630413,-0.038417347772027,-0.979989577815118
1.3,0.951056516295154,0.0671706294347898,-0.918317018971506,-0.017287653331679,-0.868434042868395
1.31,0.929776485888252,0.137942654206053,-0.895309954670576,0.00391868495399943,-0.753448615510524
1.32,0.90482705246602,0.208168530268277,-0.868773579756737,0.0251178081731495,-0.635487241315311
1.33,0.876306680043864,0.277570928968818,-0.83881241839915,0.0462258883468191,-0.515015601083513
1.34,0.844327925502015,0.345875776115269,-0.805544509566869,0.0671594593584765,-0.392509274093123
1.35,0.809016994374948,0.412813334346025,-0.769100941195344,0.0878357461842734,-0.268451860665046
1.36,0.77051324277579,0.478119266347565,-0.729625333171545,0.108172991472856,-0.143333075351124
1.37,0.728968627421412,0.541535678480418,-0.68727327052679,0.128090778150349,-0.017646813896023
1.38,0.68454710592869,0.602812137888398,-0.642211689597038,0.147510346663087,0.108110794954447
1.39,0.63742398974869,0.661706660914118,-0.594618219278753,0.166354905761154,0.233443347396519
1.4,0.587785252292473,0.717986667652941,-0.544680480130214,0.184549935511409,0.357856123034136
1.41,0.535826794978997,0.77142989974534,-0.492595344033931,0.202023481281179,0.480858036992588
1.42,0.481753674101716,0.821825297337421,-0.438568157297777,0.218706437683613,0.601963577723257
1.43,0.425779291565072,0.86897383178331,-0.382811930459707,0.2345328212301,0.720694722553703
1.44,0.368124552684678,0.912689291000206,-0.325546497542801,0.249440030688707,0.836582824146112
1.45,0.309016994374948,0.952799014329219,-0.266997648696425,0.263369094097517,0.949170459730311
1.46,0.248689887164855,0.989144573558889,-0.207396239120963,0.276264901480474,1.0580132359184
1.47,0.187381314585726,1.02158239830407,-0.146977278238057,0.288076422227463,1.16268154229348
1.48,0.125333233564306,1.04998434218874,-0.0859790019901029,0.298756906413946,1.26276224661258
1.49,0.0627905195293152,1.07423818892242,-0.0246419328682216,0.308264069578766,1.35786032563296
1.5,3.67394039744206e-16,1.09424809445198,0.0367920691540211,0.31656025902761,1.44760042263361
